device_id,rom_id,support_level,last_verified
10_or_g,alphadroid,gsi_candidate,2026-07-14
10_or_g,android_s_gsi,gsi_candidate,2026-07-14
10_or_g,apatch_the_patching_of_android_kernel_system,root_tool_candidate,2026-07-14
10_or_g,arrowos,official,2026-07-14
10_or_g,auroradroid,app_candidate,2026-07-14
10_or_g,caos_a11,gsi_candidate,2026-07-14
10_or_g,cherish_os,gsi_candidate,2026-07-14
10_or_g,corvus_os,gsi_candidate,2026-07-14
10_or_g,crdroid,gsi_candidate,2026-07-14
10_or_g,crdroid_r_mod,gsi_candidate,2026-07-14
10_or_g,derpfest,gsi_candidate,2026-07-14
10_or_g,e_os,community,2026-07-14
10_or_g,evolution_x,gsi_candidate,2026-07-14
10_or_g,google_gsi_a10,gsi_candidate,2026-07-14
10_or_g,google_gsi_a11,gsi_candidate,2026-07-14
10_or_g,google_gsi_a12,gsi_candidate,2026-07-14
10_or_g,google_gsi_a13,gsi_candidate,2026-07-14
10_or_g,kali_nethunter,nethunter_candidate,2026-07-14
10_or_g,kernelsu_kernel_based_root_solution_for_android,root_tool_candidate,2026-07-14
10_or_g,leos,gsi_candidate,2026-07-14
10_or_g,lineage_os_r_mod,gsi_candidate,2026-07-14
10_or_g,lineageos,official,2026-07-14
10_or_g,lmodroid,official,2026-07-14
10_or_g,magisk_the_magic_mask_for_android,root_tool_candidate,2026-07-14
10_or_g,nethunter_os,nethunter_candidate,2026-07-14
10_or_g,orangefox_recovery,recovery_build_required,2026-07-14
10_or_g,pitch_black_recovery_project,recovery_build_required,2026-07-14
10_or_g,pixelos,official,2026-07-14
10_or_g,pterodon_recovery,recovery_build_required,2026-07-14
10_or_g,redwolf_recovery_project,recovery_build_required,2026-07-14
10_or_g,risingos,gsi_candidate,2026-07-14
10_or_g,shrp_sky_hawk_recovery_project,recovery_build_required,2026-07-14
10_or_g,sparkos,gsi_candidate,2026-07-14
10_or_g,superior_os,gsi_candidate,2026-07-14
10_or_g,twrp_team_win_recovery_project,recovery_build_required,2026-07-14
10_or_g,voltageos,gsi_candidate,2026-07-14
ark_peach,alphadroid,gsi_candidate,2026-07-14
ark_peach,android_s_gsi,gsi_candidate,2026-07-14
ark_peach,apatch_the_patching_of_android_kernel_system,root_tool_candidate,2026-07-14
ark_peach,arrowos,gsi_candidate,2026-07-14
ark_peach,auroradroid,app_candidate,2026-07-14
ark_peach,caos_a11,gsi_candidate,2026-07-14
ark_peach,cherish_os,gsi_candidate,2026-07-14
ark_peach,corvus_os,gsi_candidate,2026-07-14
ark_peach,crdroid,gsi_candidate,2026-07-14
ark_peach,crdroid_r_mod,gsi_candidate,2026-07-14
ark_peach,derpfest,gsi_candidate,2026-07-14
ark_peach,evolution_x,gsi_candidate,2026-07-14
ark_peach,google_gsi_a10,gsi_candidate,2026-07-14
ark_peach,google_gsi_a11,gsi_candidate,2026-07-14
ark_peach,google_gsi_a12,gsi_candidate,2026-07-14
ark_peach,google_gsi_a13,gsi_candidate,2026-07-14
ark_peach,kali_nethunter,nethunter_candidate,2026-07-14
ark_peach,kernelsu_kernel_based_root_solution_for_android,root_tool_candidate,2026-07-14
ark_peach,leos,gsi_candidate,2026-07-14
ark_peach,lineage_os_r_mod,gsi_candidate,2026-07-14
ark_peach,magisk_the_magic_mask_for_android,root_tool_candidate,2026-07-14
ark_peach,nethunter_os,nethunter_candidate,2026-07-14
ark_peach,orangefox_recovery,recovery_build_required,2026-07-14
ark_peach,pitch_black_recovery_project,recovery_build_required,2026-07-14
ark_peach,pterodon_recovery,recovery_build_required,2026-07-14
ark_peach,redwolf_recovery_project,recovery_build_required,2026-07-14
ark_peach,risingos,gsi_candidate,2026-07-14
ark_peach,shrp_sky_hawk_recovery_project,recovery_build_required,2026-07-14
ark_peach,sparkos,gsi_candidate,2026-07-14
ark_peach,superior_os,gsi_candidate,2026-07-14
ark_peach,twrp_team_win_recovery_project,recovery_build_required,2026-07-14
ark_peach,voltageos,gsi_candidate,2026-07-14
asus_i001d,alphadroid,gsi_candidate,2026-07-14
asus_i001d,android_s_gsi,gsi_candidate,2026-07-14
asus_i001d,apatch_the_patching_of_android_kernel_system,root_tool_candidate,2026-07-14
asus_i001d,arrowos,gsi_candidate,2026-07-14
asus_i001d,auroradroid,app_candidate,2026-07-14
asus_i001d,caos_a11,gsi_candidate,2026-07-14
asus_i001d,cherish_os,gsi_candidate,2026-07-14
asus_i001d,corvus_os,gsi_candidate,2026-07-14
asus_i001d,crdroid,gsi_candidate,2026-07-14
asus_i001d,crdroid_r_mod,gsi_candidate,2026-07-14
asus_i001d,derpfest,gsi_candidate,2026-07-14
asus_i001d,evolution_x,gsi_candidate,2026-07-14
asus_i001d,google_gsi_a10,gsi_candidate,2026-07-14
asus_i001d,google_gsi_a11,gsi_candidate,2026-07-14
asus_i001d,google_gsi_a12,gsi_candidate,2026-07-14
asus_i001d,google_gsi_a13,gsi_candidate,2026-07-14
asus_i001d,kali_nethunter,nethunter_candidate,2026-07-14
asus_i001d,kernelsu_kernel_based_root_solution_for_android,root_tool_candidate,2026-07-14
asus_i001d,leos,gsi_candidate,2026-07-14
asus_i001d,lineage_os_r_mod,gsi_candidate,2026-07-14
asus_i001d,magisk_the_magic_mask_for_android,root_tool_candidate,2026-07-14
asus_i001d,nethunter_os,nethunter_candidate,2026-07-14
asus_i001d,orangefox_recovery,recovery_build_required,2026-07-14
asus_i001d,pitch_black_recovery_project,recovery_build_required,2026-07-14
asus_i001d,pterodon_recovery,recovery_build_required,2026-07-14
asus_i001d,redwolf_recovery_project,recovery_build_required,2026-07-14
asus_i001d,risingos,gsi_candidate,2026-07-14
asus_i001d,shrp_sky_hawk_recovery_project,recovery_build_required,2026-07-14
asus_i001d,sparkos,gsi_candidate,2026-07-14
asus_i001d,superior_os,gsi_candidate,2026-07-14
asus_i001d,twrp_team_win_recovery_project,recovery_build_required,2026-07-14
asus_i001d,voltageos,gsi_candidate,2026-07-14
asus_i01wd,alphadroid,gsi_candidate,2026-07-14
asus_i01wd,android_s_gsi,gsi_candidate,2026-07-14
asus_i01wd,apatch_the_patching_of_android_kernel_system,root_tool_candidate,2026-07-14
asus_i01wd,arrowos,gsi_candidate,2026-07-14
asus_i01wd,auroradroid,app_candidate,2026-07-14
asus_i01wd,caos_a11,gsi_candidate,2026-07-14
asus_i01wd,cherish_os,gsi_candidate,2026-07-14
asus_i01wd,corvus_os,gsi_candidate,2026-07-14
asus_i01wd,crdroid,gsi_candidate,2026-07-14
asus_i01wd,crdroid_r_mod,gsi_candidate,2026-07-14
asus_i01wd,derpfest,gsi_candidate,2026-07-14
asus_i01wd,evolution_x,gsi_candidate,2026-07-14
asus_i01wd,google_gsi_a10,gsi_candidate,2026-07-14
asus_i01wd,google_gsi_a11,gsi_candidate,2026-07-14
asus_i01wd,google_gsi_a12,gsi_candidate,2026-07-14
asus_i01wd,google_gsi_a13,gsi_candidate,2026-07-14
asus_i01wd,kali_nethunter,nethunter_candidate,2026-07-14
asus_i01wd,kernelsu_kernel_based_root_solution_for_android,root_tool_candidate,2026-07-14
asus_i01wd,leos,gsi_candidate,2026-07-14
asus_i01wd,lineage_os_r_mod,gsi_candidate,2026-07-14
asus_i01wd,magisk_the_magic_mask_for_android,root_tool_candidate,2026-07-14
asus_i01wd,nethunter_os,nethunter_candidate,2026-07-14
asus_i01wd,orangefox_recovery,recovery_build_required,2026-07-14
asus_i01wd,pitch_black_recovery_project,recovery_build_required,2026-07-14
